X1,Y1,Z1,X2,Y2,Z2
382.5,1255.5,71.25,372,1258.5,45
382.5,1255.5,71.25,426,1261.5,101.25
426,1261.5,101.25,408,1323,86.25
408,1323,86.25,346.5,1345.5,30
408,1323,86.25,430.316925,1342.754395,104.999962
430.316925,1342.754395,104.999962,483,1312.5,116.25
483,1312.5,116.25,468,1296,86.25
468,1296,86.25,510.125641,1294.136719,71.135956
510.125641,1294.136719,71.135956,525,1333.5,30
468,1296,86.25,484.943146,1253.538208,95.221977
484.943146,1253.538208,95.221977,488.736206,1267.415649,46.93293
488.736206,1267.415649,46.93293,478.5,1296,45
478.5,1296,45,477,1305,30
478.5,1296,45,468,1296,86.25
483,1312.5,116.25,471,1320,138.75
471,1320,138.75,465,1293,161.25
465,1293,161.25,450,1275,168.75
450,1275,168.75,445.5,1278,161.25
445.5,1278,161.25,441,1278,150
441,1278,150,426,1261.5,101.25
441,1278,150,417,1275,165
417,1275,165,370.5,1290,120
370.5,1290,120,349.5,1278,138.75
349.5,1278,138.75,327,1267.5,150
327,1267.5,150,316.5,1273.5,120
327,1267.5,150,316.5,1275,180
316.5,1275,180,330,1299,172.5
330,1299,172.5,297,1324.5,116.25
330,1299,172.5,346.5,1287,150
346.5,1287,150,349.5,1278,138.75
346.5,1287,150,373.5,1300.5,191.25
373.5,1300.5,191.25,366,1294.5,120
366,1294.5,120,358.5,1296,108.75
373.5,1300.5,191.25,351,1312.5,202.5
351,1312.5,202.5,330,1299,172.5
351,1312.5,202.5,358.5,1320,217.5
358.5,1320,217.5,361.5,1335,191.25
361.5,1335,191.25,371.902832,1332.966431,139.245804
371.902832,1332.966431,139.245804,372,1357.5,135
372,1357.5,135,444,1381.5,108.75
444,1381.5,108.75,498,1366.5,105
498,1366.5,105,531,1351.5,86.25
531,1351.5,86.25,571.5,1374,75
571.5,1374,75,588,1398,71.25
588,1398,71.25,585,1423.5,30
588,1398,71.25,610.5,1395,82.5
610.5,1395,82.5,640.5,1344,67.5
610.5,1395,82.5,618,1402.5,82.5
618,1402.5,82.5,639.399109,1430.320557,48.468552
639.399109,1430.320557,48.468552,654.196594,1474.288452,60.000431
654.196594,1474.288452,60.000431,738,1416,71.25
618,1402.5,82.5,650.761719,1397.671021,130.302109
650.761719,1397.671021,130.302109,663,1345.5,191.25
663,1345.5,191.25,637.5,1353,165
637.5,1353,165,603,1387.5,131.25
603,1387.5,131.25,561,1387.5,101.25
561,1387.5,101.25,567,1375.5,78.75
567,1375.5,78.75,558,1389,97.5
558,1389,97.5,538.5,1404,78.75
538.5,1404,78.75,534,1422,30
538.5,1404,78.75,511.5,1429.5,105
511.5,1429.5,105,490.5,1434,82.5
490.5,1434,82.5,490.5,1441.5,71.25
490.5,1441.5,71.25,492,1437,37.5
490.5,1441.5,71.25,472.5,1464,71.25
472.5,1464,71.25,478.5,1483.5,60
478.5,1483.5,60,513,1510.5,37.5
513,1510.5,37.5,526.5,1488,30
513,1510.5,37.5,514.5,1500,63.75
514.5,1500,63.75,511.5,1488,86.25
511.5,1488,86.25,480,1482,105
480,1482,105,472.5,1485,93.75
472.5,1485,93.75,478.5,1483.5,60
472.5,1485,93.75,472.5,1464,71.25
472.5,1485,93.75,468,1489.5,97.5
468,1489.5,97.5,457.5,1536,75
457.5,1536,75,478.652008,1578.098511,62.413334
478.652008,1578.098511,62.413334,457.5,1617,30
457.5,1536,75,412.5,1524,60
412.5,1524,60,396,1558.5,30
412.5,1524,60,383.326935,1525.316284,90.1474
383.326935,1525.316284,90.1474,430.5,1530,112.5
430.5,1530,112.5,436.5,1581,90
436.5,1581,90,405,1618.5,30
436.5,1581,90,388.862671,1536.435547,142.886978
388.862671,1536.435547,142.886978,387,1522.5,191.25
387,1522.5,191.25,376.614166,1511.700439,166.738678
376.614166,1511.700439,166.738678,346.5,1449,168.75
346.5,1449,168.75,331.5,1452,135
331.5,1452,135,333,1434,127.5
333,1434,127.5,303,1404,82.5
303,1404,82.5,300,1410,60
300,1410,60,285,1422,41.25
285,1422,41.25,262.5,1429.5,30
285,1422,41.25,300,1410,60
303,1404,82.5,274.5,1363.5,93.75
274.5,1363.5,93.75,250.5,1360.5,86.25
