Node,X,Y,Z
351,445.5,862.5,120
352,438,858,63.75
353,445.5,846,37.5
354,447,844.5,30
355,436.5,759,67.5
356,391.5,741,45
357,376.5,726,30
358,414,726,75
359,391.5,732,105
360,376.5,733.5,86.25
361,361.5,724.5,67.5
362,351,721.5,30
363,417,682.5,138.75
364,436.5,718.5,120
365,457.5,768,161.25
366,486,777,153.75
367,496.5,792,108.75
368,493.5,795,86.25
369,495,816,30
370,555,838.5,86.25
371,585,771,48.75
372,577.5,738,67.5
373,558,684,93.75
374,564,661.5,112.5
375,564,631.5,82.5
376,568.5,621,30
377,579,648,45
378,583.5,646.5,30
379,615,696,75
380,628.348633,691.686096,49.075272
381,637.5,673.5,82.5
382,662.938477,655.666626,50.094105
383,685.5,673.5,48.75
384,705,690,52.5
385,740.251282,725.084839,54.31308
386,745.5,735,82.5
387,726,778.5,86.25
388,721.5,783,86.25
389,725.450317,795.7323,57.99173
390,726,808.5,90
391,735,808.5,90
392,756,801,82.5
393,733.5,783,90
394,775.5,819,90
395,810,832.5,86.25
396,823.5,847.5,60
397,874.5,817.5,108.75
398,919.5,837,78.75
399,925.025574,847.129272,37.900272
400,952.5,819,30
401,903,904.5,75
402,877.5,948,52.5
403,889.5,960,30
404,871.5,957,60
405,868.5,955.5,63.75
406,864,939,86.25
407,826.5,919.5,56.25
408,816,943.5,30
409,800.429077,880.613037,32.717518
410,820.5,855,82.5
411,828,856.5,108.75
412,826.5,853.5,120
413,817.5,850.5,142.5
414,787.5,883.5,127.5
415,751.5,889.5,146.25
416,814.294861,898.576599,149.999847
417,831,925.5,135
418,865.934265,946.081848,122.166512
419,802.5,933,120
420,762.079041,874.655945,49.959423
421,765,831,105
422,730.5,829.5,153.75
423,706.5,814.5,202.5
424,661.5,829.5,172.5
425,654,822,150
426,666,820.5,123.75
427,646.5,802.5,93.75
428,636,801,86.25
429,621.157959,808.507874,51.499454
430,595.5,783,52.5
431,601.5,772.5,86.25
432,624,790.5,90
433,597,769.5,97.5
434,592.5,762,105
435,570,733.5,116.25
436,520.230347,737.385315,151.41803
437,492,697.5,213.75
438,483,688.5,191.25
439,475.5,678,131.25
440,459,651,86.25
441,439.5,645,30
442,467.85495,713.186462,76.109886
443,489.229034,725.544434,101.809448
444,535.5,759,93.75
445,531,766.5,93.75
446,523.5,772.5,105
447,543,768,123.75
448,547.5,766.5,112.5
449,597,772.5,105
450,591,790.5,112.5
451,552,805.5,153.75
452,513,798,206.25
453,501,807,240
454,490.5,819,217.5
455,493.5,835.5,202.5
456,522.654968,851.50708,135.5383
457,543,867,146.25
458,552,859.5,123.75
459,550.5,850.5,112.5
460,556.5,843,86.25
461,556.5,850.5,37.5
462,585,837,108.75
463,627,871.5,75
464,631.901733,876.382507,40.371658
465,670.5,862.5,30
466,639,895.5,93.75
467,628.5,906,30
468,678,868.5,93.75
469,666,817.5,56.25
470,651,774,30
471,658.5,804,90
472,685.5,789,86.25
473,660,745.5,63.75
474,677.831482,710.103821,40.489433
475,685.5,679.5,67.5
476,693,684,93.75
477,693,690,112.5
478,666,708,138.75
479,660,696,157.5
480,660,688.5,161.25
481,642,655.5,146.25
482,664.718689,623.9776,113.792274
483,673.5,558,105
484,663.977905,551.841248,60.377556
